Diodes			
Voltage (V)	V_Unc	Current (mA)	I_Unc
0.0028	0.000014	0.009	0.000045
0.1865	0.0009325	0.015	0.000075
0.226	0.00113		0.022	0.00011
0.274	0.00137		0.05	0.00025
0.3109	0.0015545	0.128	0.00064
0.3253	0.0016265	0.189	0.000945
0.3356	0.001678	0.256	0.00128
0.3475	0.0017375	0.37	0.00185
0.3611	0.0018055	0.563	0.002815
0.37	0.00185		0.742	0.00371
0.3884	0.001942	1.328	0.00664
0.3934	0.001967	1.573	0.007865
0.4064	0.002032	2.324	0.01162
0.4152	0.002076	3.065	0.015325
0.4207	0.0021035	3.622	0.01811
0.4259	0.0021295	4.254	0.02127
0.4363	0.0021815	5.873	0.029365
0.4415	0.0022075	6.839	0.034195
0.448	0.00224		8.3	0.0415
0.452	0.00226		9.366	0.04683
0.4588	0.002294	11.431	0.057155
0.4712	0.002356	16.27	0.08135
0.4748	0.002374	17.96	0.0898
0.5423	0.0027115	18.24	0.0912
0.6759	0.0033795	19.022	0.09511
0.6891	0.0034455	26.53	0.13265
0.704	0.00352		36.79	0.18395
0.7166	0.003583	49.72	0.2486
0.7243	0.0036215	59.27	0.29635
0.7269	0.0036345	62.62	0.3131
0.7289	0.0036445	66.94	0.3347
0.7312	0.003656	69.04	0.3452
0.7333	0.0036665	73.8	0.369
0.7467	0.0037335	93.42	0.4671
0.7457	0.0037285	97.76	0.4888
0.7527	0.0037635	127.25	0.63625
0.7572	0.003786	134.01	0.67005
0.7577	0.0037885	141.06	0.7053
0.7627	0.0038135	157.94	0.7897
0.7672	0.003836	176.72	0.8836
0.7677	0.0038385	187.12	0.9356
0.772	0.00386		195.09	0.97545
0.7695	0.0038475	197.24	0.9862
