Diodes reversed			
Voltage (V)	V_Unc	Current (mA)	I_Unc
0.0028	0.000014	0	0
0.1865	0.0009325	0	0
0.226	0.00113	0	0
0.274	0.00137	0	0
0.3109	0.0015545	0	0
0.3253	0.0016265	0	0
0.3356	0.001678	0	0
0.3475	0.0017375	0	0
0.3611	0.0018055	0	0
0.37	0.00185	0	0
0.3884	0.001942	0	0
0.3934	0.001967	0	0
0.4064	0.002032	0	0
0.4152	0.002076	0	0
0.4207	0.0021035	0	0
0.4259	0.0021295	0	0
0.4363	0.0021815	0	0
0.4415	0.0022075	0	0
0.448	0.00224	0	0
0.452	0.00226	0	0
0.4588	0.002294	0	0
0.4712	0.002356	0	0
0.4748	0.002374	0	0
0.5423	0.0027115	0	0
0.6759	0.0033795	0	0
0.6891	0.0034455	0	0
0.704	0.00352	0	0
0.7166	0.003583	0	0
0.7243	0.0036215	0	0
0.7269	0.0036345	0	0
0.7289	0.0036445	0	0
0.7312	0.003656	0	0
0.7333	0.0036665	0	0
0.7467	0.0037335	0	0
0.7457	0.0037285	0	0
0.7527	0.0037635	0	0
0.7572	0.003786	0	0
0.7577	0.0037885	0	0
0.7627	0.0038135	0	0
0.7672	0.003836	0	0
0.7677	0.0038385	0	0
0.772	0.00386	0	0
0.7695	0.0038475	0	0
